"type","priority","canonical_key","duplicate_keys","zh_value_or_mapping","en_value_mapping","note"
"normalized_en_collision","high","Copy a request header","Copy Request Header","Copy a request header => 复制请求头 | Copy Request Header => 复制请求头","Copy a request header => Copy a request header | Copy Request Header => Copy Request Header","英文归一化接近: copy request header"
"normalized_en_collision","high","Create account","Create an account","Create account => 创建账户 | Create an account => 创建一个账户","Create account => Create account | Create an account => Create an account","英文归一化接近: create account"
"normalized_en_collision","high","Custom (seconds)","Custom Seconds","Custom (seconds) => 自定义(秒) | Custom Seconds => 自定义秒数","Custom (seconds) => Custom (seconds) | Custom Seconds => Custom Seconds","英文归一化接近: custom seconds"
"normalized_en_collision","high","Enter a name","Please enter a name","Enter a name => 输入名称 | Please enter a name => 请输入名称","Enter a name => Enter a name | Please enter a name => Please enter a name","英文归一化接近: enter name"
"normalized_en_collision","high","Enter model name","Please enter model name","Enter model name => 请输入模型名称 | Please enter model name => 请输入模型名称","Enter model name => Enter model name | Please enter model name => Please enter model name","英文归一化接近: enter model name"
"normalized_en_collision","high","Enter the verification code","Enter verification code | Please enter the verification code | Please enter your verification code","Enter the verification code => 输入验证码 | Enter verification code => 输入验证码 | Please enter the verification code => 请输入验证码 | Please enter your verification code => 请输入您的验证码","Enter the verification code => Enter the verification code | Enter verification code => Enter verification code | Please enter the verification code => Please enter the verification code | Please enter your verification code => Please enter your verification code","英文归一化接近: enter verification code"
"normalized_en_collision","high","Enter username","Enter your username","Enter username => 输入用户名 | Enter your username => 输入您的用户名","Enter username => Enter username | Enter your username => Enter your username","英文归一化接近: enter username"
"normalized_en_collision","high","Enter your email","Please enter your email","Enter your email => 输入您的电子邮件 | Please enter your email => 请输入您的电子邮件","Enter your email => Enter your email | Please enter your email => Please enter your email","英文归一化接近: enter email"
"normalized_en_collision","high","Enter your redemption code","Please enter a redemption code","Enter your redemption code => 输入您的兑换码 | Please enter a redemption code => 请输入兑换码","Enter your redemption code => Enter your redemption code | Please enter a redemption code => Please enter a redemption code","英文归一化接近: enter redemption code"
"normalized_en_collision","high","Move a request header","Move Request Header","Move a request header => 移动请求头 | Move Request Header => 移动请求头","Move a request header => Move a request header | Move Request Header => Move Request Header","英文归一化接近: move request header"
"normalized_en_collision","high","New API","New API &lt;noreply@example.com&gt;","New API => New API | New API &lt;noreply@example.com&gt; => New API &lt;noreply@example.com&gt;","New API => New API | New API &lt;noreply@example.com&gt; => New API &lt;noreply@example.com&gt;","英文归一化接近: new api"
"normalized_en_collision","high","Please select a payment method","Select Payment Method","Please select a payment method => 请选择支付方式 | Select Payment Method => 选择支付方式","Please select a payment method => Please select a payment method | Select Payment Method => Select Payment Method","英文归一化接近: select payment method"
