顺序,需求正文,是否完成,是否commit,是否通过review
1,"系统设置中添加套餐设置选项卡，管理员配置套餐支付方式和套餐模型消耗倍率",是,是,是
2,"运营设置支持开启/关闭个人中心-订阅管理菜单，默认开启",是,是,是
3,"运营设置支持开启/关闭管理员-套餐管理菜单，默认开启",是,是,是
4,"模型广场计费类型新增套餐计费筛选",是,是,是
5,"渠道新建/编辑支持配置是否支持套餐用户调用",是,是,是
6,"用户管理支持给用户发放套餐、移除套餐、添加下个周期套餐",是,是,是
7,"运营设置支持开启/关闭用户维护-套餐兑换码菜单，默认开启",是,是,是
8,"动态倍率规则支持配置是否对套餐生效，默认新建不生效",是,是,是
9,"订阅管理左侧提供套餐订阅购买，支持余额支付和现金支付配置",是,是,是
10,"订阅管理右侧显示当前套餐、周期、续订、升级和退订工单引导",是,是,是
11,"管理员套餐管理支持分页列表、添加、编辑、启停套餐",是,是,是
12,"套餐定义支持套餐名称、周期、价格、总额度、刷新时间和窗口额度",是,是,是
13,"套餐额度刷新按订阅生效时间滚动计算，并受总额度上限约束",是,是,是
14,"套餐购买/续订/升级使用独立订阅订单，不复用充值订单",是,是,是
15,"现金支付回调能区分充值订单和套餐订单，避免套餐付款被当作充值",是,是,是
16,"用户有效套餐时 API 调用优先扣套餐额度，套餐不足直接拒绝",是,是,是
17,"套餐用户仅可使用支持套餐的渠道；无支持渠道时报无可用渠道",是,是,是
18,"套餐 API 实际消耗超过预扣且额度不足时允许末次超额并记录",是,是,是
19,"套餐模型消耗倍率随支持套餐渠道模型动态加载并后台实时更新",是,是,是
20,"套餐兑换码功能对齐普通兑换码，单批后端限制 100 个，兑换后发放套餐",是,是,是
21,"模型广场展开计费详情展示套餐消耗倍率和倍率后价格",是,是,是
22,"数据库新增套餐、用户订阅、订阅订单、套餐账单/流水等表",是,是,是
23,"补充后端接口鉴权，用户接口需登录，管理接口需管理员权限",是,是,是
24,"补充必要测试或验证，覆盖核心套餐购买、发放、扣费路径",是,是,是
